Bil.,Name,District,Location,Year Built,Coordinates,Category,Warta
1,Bangunan Astana,Kuching,"Petra Jaya, Kuching",1870,"1.5638638200765596, 110.34558765269617",Bangunan,10/02/1971
2,Bangunan Mahkamah ,Kuching,"Jln. Tun Abg. Hj. Openg, Kuching",1874,"1.5626758862393713, 110.34412655400746",Bangunan,10/02/1971
3,Kubu Margherita,Kuching,"Jln. Field Force, Pangkalan Sapi, Kuching",1879,"1.5608777441063262, 110.3494976392031",Bangunan,10/02/1971
4,Bangunan Square Tower,Kuching,"Waterfront, Kuching",1886,"1.5604680955858818, 110.34555349502489",Bangunan,10/02/1971
5,Bangunan Muzium Sarawak,Kuching,"Jln. Tun Abg. Hj. Openg, Kuching",1891,"1.5550074711910793, 110.34335370902025",Bangunan,10/02/1971
6,Bangunan Pejabat Pos,Kuching,"Jln. Tun Abg. Hj. Openg, Kuching",1931,"1.55848435978674, 110.34495266912813",Bangunan,10/02/1971
7,Kubu Lili,Betong,Betong,1858,"1.4146393332092195, 111.52796953735398",Bangunan,10/02/1971
8,Kubu Alice,Sri Aman,Sri Aman ,1864,"1.239999556856445, 111.46186436619",Bangunan,10/02/1971
9,Kubu Sylvia,Kapit,Kapit,1880,"2.0174728304460134, 112.94191256618852",Bangunan,10/02/1971
10,Kubu Hose,Miri,"Marudi, Miri",1899,"4.177284201506096, 114.32492668523088",Bangunan,10/02/1971
11,Gua Niah,Miri,"Batu Niah, Miri",NA,"3.8017229112038744, 113.78532816618875",Tapak,14/06/1972
12,Bangunan Maderasah Melayu,Kuching,"Jalan P. Ramlee, Kuching",1931,"1.5552695712358522, 110.34143560851805",Bangunan,10/07/1985
13,Bangunan Pavillion,Kuching,"Jln. Tun Abg. Hj. Openg, Kuching",1909,"1.558755884625223, 110.34486685767126",Bangunan,10/07/1985
14,Bangunan Menara Bulat,Kuching,"Jln. Tun Abg. Hj. Openg, Kuching",1886,"1.5589903703350785, 110.34488307201117",Bangunan,10/07/1985
15,Kubu Lama,Limbang,Limbang,1897,"4.7480863070545265, 115.00637760379021",Bangunan,10/07/1985
16,Kubu Emma,Kanowit,Kanowit,1851,"2.1018605734932168, 112.15805306618843",Bangunan,10/07/1985
17,Jambatan Gantung,Kuching,"Jalan Satok, Kuching",1926,"1.5550419970598883, 110.32409315269625",Monumen,10/07/1985
18,Miri Oil Well No.1 Site,Miri,Miri,1910,"4.389186606279987, 113.99511121036812",Monumen,10/07/1985
